Source,Target,Group,Weight,Weight_2018,Weight_2019,Weight_2020,Weight_2021,Weight_2022,Weight_2023,Weight_2024
32,207,Faculty-Collaborator,1,0,0,0,1,1,1,1
32,208,Faculty-Collaborator,1,1,1,1,1,1,1,1
32,211,Faculty-Collaborator,1,1,1,1,1,1,1,1
32,236,Faculty-Collaborator,1,1,1,1,1,1,1,1
33,41,Affiliate Student-Collaborator,1,0,0,0,0,0,0,1
33,102,Collaborator-Collaborator,1,0,0,0,0,0,0,1
33,120,Collaborator-Collaborator,1,0,0,0,0,0,0,1
33,163,Faculty-Collaborator,1,0,0,0,0,0,0,1
33,200,Collaborator-Collaborator,1,0,0,0,0,0,0,1
33,213,Collaborator-Collaborator,1,0,0,0,0,0,0,1
34,88,Faculty-Affiliate Student,2,0,0,2,2,2,2,2
35,126,Collaborator-Collaborator,1,0,0,1,1,1,1,1
35,166,Collaborator-Collaborator,1,0,0,1,1,1,1,1
35,194,Collaborator-Collaborator,1,0,0,1,1,1,1,1
35,214,Doctoral Fellow-Collaborator,1,0,0,1,1,1,1,1
36,61,Faculty-Collaborator,1,0,0,0,0,1,1,1
36,121,Collaborator-Collaborator,1,0,0,0,0,1,1,1
36,137,Collaborator-Collaborator,1,0,0,0,0,1,1,1
36,158,Faculty-Collaborator,1,0,0,0,0,1,1,1
37,56,Collaborator-Collaborator,1,0,0,0,0,0,1,1
37,71,Collaborator-Collaborator,1,0,0,0,0,0,1,1
37,93,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
37,217,Collaborator-Collaborator,1,0,0,0,0,0,1,1
38,45,Collaborator-Collaborator,1,0,0,0,0,1,1,1
38,55,Collaborator-Collaborator,1,0,0,0,0,1,1,1
38,59,Collaborator-Collaborator,1,0,0,0,0,1,1,1
38,90,Collaborator-Collaborator,1,0,0,0,0,1,1,1
38,127,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
38,155,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
38,193,Faculty-Collaborator,1,0,0,0,0,1,1,1
38,202,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
39,61,Faculty-Collaborator,1,1,1,1,1,1,1,1
39,125,Faculty-Collaborator,1,1,1,1,1,1,1,1
39,180,Collaborator-Collaborator,1,1,1,1,1,1,1,1
39,215,Collaborator-Collaborator,1,1,1,1,1,1,1,1
39,228,Affiliate Student-Collaborator,1,1,1,1,1,1,1,1
40,52,Doctoral Fellow-Collaborator,1,1,1,1,1,1,1,1
40,190,Collaborator-Collaborator,1,1,1,1,1,1,1,1
41,67,Affiliate Student-Collaborator,2,1,1,1,2,2,2,2
41,102,Affiliate Student-Collaborator,1,0,0,0,0,0,0,1
41,120,Affiliate Student-Collaborator,2,0,1,1,1,1,1,2
41,129,Affiliate Student-Collaborator,2,0,0,0,1,1,2,2
41,131,Affiliate Student-Affiliate Student,2,0,0,0,1,1,2,2
41,163,Faculty-Affiliate Student,9,1,2,3,6,6,8,9
41,185,Affiliate Student-Collaborator,2,0,0,0,1,1,2,2
41,189,Affiliate Student-Collaborator,1,0,0,0,1,1,1,1
41,200,Affiliate Student-Collaborator,1,0,0,0,0,0,0,1
41,213,Affiliate Student-Collaborator,1,0,0,0,0,0,0,1
